reco_id_curr,max_cred_months_balance,l_cred_balance,l_credit_limit,l_drawings_atm,l_drawings,l_drawings_other,l_drawings_pos,l_minimal_payment,l_minimal_payment,l_payment_total_now,l_receivable,l_total_receivable,l_drawings_atm_count,l_drawings_count,l_drawings_other_count,l_drawings_pos_count,l_installment_mature_cum_count,l_contract_status_name
000274f21c484b0eb4960d7955599eac,-1,0.0,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
0009282f7b2e3a09d9f4aa4488d12d1d,-1,0.0,337500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
000b264593598fa0a2be157738f76f98,-2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
000cc9657493b07eadec7d31ec3e1d7d,-1,143992.0,225000,0.0,54434.3,0.0,54434.3,4269.02,5946.98,5946.98,142251.0,142251.0,0.0,4,0.0,4.0,2.0,Active
0010a92b1e3d7bae2a23cfbc1f2e8edd,-2,138176.0,135000,18000.0,36589.5,0.0,18589.5,5054.27,5175.0,5175.0,136177.0,136177.0,1.0,2,0.0,1.0,3.0,Active
0012b2aed5203803fec32ea4297c20ca,-1,0.0,900000,0.0,0.0,0.0,0.0,5869.67,230.085,5.085,0.0,0.0,0.0,0,0.0,0.0,11.0,Active
0015c311fea3ca2e3a18218cc6c98708,-1,0.0,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
00262fbd3f707919a7e5e4d1d4e8c419,-1,242405.0,270000,0.0,0.0,0.0,0.0,12290.3,13500.0,13500.0,240616.0,240616.0,0.0,0,0.0,0.0,24.0,Active
002b45c589f33cd8131ddec3151283fa,-2,0.0,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
002f30c859fd37094037a2320211fe5e,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,41.94,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active
003a615544a42560dd6fa790ab168c50,-1,0.0,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
