reco_id_curr,reco_id_last,min_cred_months_balance,f_cred_balance,f_credit_limit,f_drawings_atm,f_drawings,f_drawings_other,f_drawings_pos,f_minimal_payment,f_minimal_payment,f_payment_total_now,f_receivable,f_total_receivable,f_drawings_atm_count,f_drawings_count,f_drawings_other_count,f_drawings_pos_count,f_installment_mature_cum_count,f_contract_status_name
000274f21c484b0eb4960d7955599eac,6a3ec99fdd3883ba2093c7e31738f11a,-6,0.0,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
0009282f7b2e3a09d9f4aa4488d12d1d,ad67ab68625990378e3f3939351bb064,-5,0.0,337500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
000b264593598fa0a2be157738f76f98,4dc01f29d212c2920ca2aca3991ab53c,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
000cc9657493b07eadec7d31ec3e1d7d,067702a72ca3b1581af82684e3753d36,-6,143992.0,225000,0.0,54434.3,0.0,54434.3,4269.02,5946.98,5946.98,142251.0,142251.0,0.0,4,0.0,4.0,2.0,Active
0010a92b1e3d7bae2a23cfbc1f2e8edd,84fea003ba0abc1fbf089bf53ee34cb1,-6,138176.0,135000,18000.0,36589.5,0.0,18589.5,5054.27,5175.0,5175.0,136177.0,136177.0,1.0,2,0.0,1.0,3.0,Active
0012b2aed5203803fec32ea4297c20ca,ee4cbdd55d1174c9692bf510886ff6d6,-6,0.0,900000,0.0,0.0,0.0,0.0,5869.67,230.085,5.085,0.0,0.0,0.0,0,0.0,0.0,11.0,Active
0015c311fea3ca2e3a18218cc6c98708,0acbf9216383f3192cf7c040f7799c9b,-6,0.0,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
00262fbd3f707919a7e5e4d1d4e8c419,fb6f6e4907e7efde075734e3abd8a7d6,-6,242405.0,270000,0.0,0.0,0.0,0.0,12290.3,13500.0,13500.0,240616.0,240616.0,0.0,0,0.0,0.0,24.0,Active
002b45c589f33cd8131ddec3151283fa,d23935229c3bf9dd0f6b513314a79427,-6,0.0,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active
002f30c859fd37094037a2320211fe5e,a5ea013afd9519ea1d5f16922e97c80a,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,41.94,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active
